run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
wrong_basin_hold_xy60,908506,6,success,success,393,0.001710,0.009270,0.000371,0.009270,2.453,2.453,0.052,0,0,120,39,60,0,0,0.001863,0.010887,2.453,-2.081,nan,square_fast_settle,aligned_descent_latch,inactive_phase:271;applied:73;aligned_descent_latch:25,0,0,2,47,39,122,9,0,0,5,0,0,0,164.956,174.824,26.416,1.709,1.310,3.019
wrong_basin_hold_xy60,908507,7,success,success,296,0.002046,0.008902,0.001431,0.008902,0.257,0.257,0.045,0,0,190,60,36,1,0,0.002151,0.010394,0.257,-2.051,nan,square_fast_settle,aligned_descent_latch,applied:132;inactive_phase:105;aligned_descent:42,0,0,0,57,60,190,9,0,1,5,0,0,0,164.255,177.238,33.100,1.576,1.700,3.276
wrong_basin_hold_xy60,908508,8,timeout,timeout_wrong_yaw_basin,1000,0.152403,0.060785,0.000511,0.000003,176.274,176.274,6.462,33,11,397,534,602,4,0,0.153577,0.061036,-176.274,-1.644,nan,recover_recenter,xy_gate,applied:348;target_hold_z_gate:347;inactive_phase:161,0,0,364,62,534,414,8,0,2,5,0,0,0,174.217,176.629,50.533,1.850,14.275,16.125
wrong_basin_hold_xy60,908509,9,success,success,239,0.001503,0.009773,0.000228,0.009773,4.581,4.581,0.038,0,0,121,51,61,0,0,0.001460,0.010693,4.581,-1.200,nan,square_fast_settle,applied,inactive_phase:112;applied:80;aligned_descent_latch:39,0,0,6,42,51,127,10,0,0,7,0,0,0,177.362,179.451,19.133,2.007,1.694,3.234
wrong_basin_hold_xy60,908510,10,timeout,timeout_yaw_not_aligned,1000,0.031826,0.041757,0.009636,0.041757,24.236,24.236,0.238,0,0,65,132,0,2,0,0.038940,0.042085,-24.236,-57.440,nan,recover_recenter,applied,xy_gate:462;inactive_phase:218;raw_norm_gate:188,0,67,0,0,132,65,299,173,49,37,0,0,0,179.978,179.951,57.620,149.764,149.392,10.837
wrong_basin_hold_xy60,908511,11,success,success,372,0.000925,0.009380,0.000303,0.009380,2.782,2.782,0.051,0,0,132,50,68,0,0,0.000945,0.010729,2.782,-2.360,nan,square_fast_settle,aligned_descent_latch,inactive_phase:234;applied:79;aligned_descent_latch:30,0,0,6,53,50,138,8,0,0,5,0,0,0,178.081,179.994,19.529,1.903,1.565,3.468
wrong_basin_hold_xy60,908512,12,success,success,425,0.002499,0.009070,0.001559,0.009070,9.920,9.920,0.912,0,0,158,58,62,0,0,0.002370,0.010168,9.920,1.555,nan,square_fast_settle,aligned_descent_latch,inactive_phase:262;applied:100;aligned_descent_latch:53,0,0,4,57,58,162,10,1,0,6,0,0,0,175.107,178.725,25.151,2.653,11.281,8.629
wrong_basin_hold_xy60,908513,13,success,success,515,0.000999,0.009389,0.000065,0.009389,8.409,8.409,0.882,0,0,214,165,119,1,0,0.001084,0.011100,8.409,1.575,nan,square_fast_settle,aligned_descent_latch,applied:176;raw_norm_gate:166;inactive_phase:118,0,12,5,38,165,219,200,167,87,16,0,0,0,179.870,179.576,61.316,2.088,5.372,3.284
wrong_basin_hold_xy60,908514,14,success,success,287,0.002101,0.009976,0.000603,0.009976,5.370,5.370,0.053,0,0,132,33,66,0,0,0.002092,0.011270,5.370,-2.411,nan,square_fast_settle,aligned_descent_latch,inactive_phase:155;applied:67;aligned_descent:33,0,0,0,64,33,132,8,0,0,5,0,0,0,171.406,173.106,23.435,1.810,3.685,5.495
wrong_basin_hold_xy60,908515,15,success,success,306,0.001911,0.008443,0.000353,0.008443,2.401,2.401,0.046,0,0,153,55,56,0,0,0.002333,0.010171,2.401,-2.604,nan,square_fast_settle,aligned_descent_latch,inactive_phase:151;applied:108;aligned_descent:23,0,0,0,45,55,153,12,0,1,7,0,0,0,164.892,178.978,34.453,1.964,1.070,2.103
wrong_basin_hold_xy60,908516,16,timeout,timeout_wrong_yaw_basin,1000,0.027485,0.059179,0.027062,0.002365,175.289,175.289,11.105,261,150,72,243,0,1,181,0.027452,0.059203,-175.289,-179.649,nan,inactive,low_visibility_brake,inactive_phase:378;xy_gate:314;low_visibility_brake:179,0,179,18,0,243,89,213,63,2,27,0,0,0,179.957,179.798,35.964,178.340,175.250,4.998
wrong_basin_hold_xy60,908517,17,success,success,286,0.001695,0.009813,0.000128,0.009813,2.137,2.137,0.056,0,0,121,51,58,0,0,0.002213,0.011288,2.137,-3.958,nan,square_fast_settle,applied,inactive_phase:153;applied:71;aligned_descent_latch:26,0,0,9,50,51,130,9,1,5,6,0,0,0,170.023,176.410,35.016,1.615,2.016,2.503
wrong_basin_hold_xy60,908518,18,success,success,945,0.001658,0.000725,0.000213,0.000016,9.930,9.930,0.034,57,20,537,365,193,2,0,0.001392,0.001533,9.930,0.834,nan,square_fast_settle,target_hold_z_gate,applied:395;inactive_phase:170;xy_gate:143,0,45,38,151,365,563,75,4,4,15,0,0,0,179.453,178.922,33.305,1.837,13.124,14.935
wrong_basin_hold_xy60,908519,19,success,success,273,0.001388,0.009128,0.000129,0.009128,4.012,4.012,0.036,0,0,120,30,55,0,0,0.001430,0.010686,4.012,-1.902,nan,square_fast_settle,aligned_descent,inactive_phase:151;applied:69;aligned_descent_latch:30,0,0,2,51,30,122,11,0,0,8,0,0,0,171.023,176.224,27.084,1.737,2.027,3.765
