profile,clearance_mm,yaw_error_deg,canonical_yaw_error_deg,period_deg,passes_geometry,min_margin_mm,clearance_reference
hex_hex,2.0,2.0,2.0,60.0,True,1.7969337311061397,hole apothem - peg apothem
hex_hex,2.0,3.0,3.0,60.0,True,1.700226555152849,hole apothem - peg apothem
hex_hex,2.0,5.0,5.0,60.0,True,1.5166114009734635,hole apothem - peg apothem
hex_hex,2.0,8.0,8.0,60.0,True,1.2660985906118143,hole apothem - peg apothem
hex_hex,2.0,10.0,10.0,60.0,True,1.1159933959823627,hole apothem - peg apothem
hex_hex,2.0,15.0,15.0,60.0,True,0.8011949299444433,hole apothem - peg apothem
hex_hex,3.0,0.0,0.0,60.0,True,2.999999999999997,hole apothem - peg apothem
hex_hex,3.0,1.0,1.0,60.0,True,2.8968683597405125,hole apothem - peg apothem
hex_hex,3.0,2.0,2.0,60.0,True,2.7969337311061384,hole apothem - peg apothem
hex_hex,3.0,3.0,3.0,60.0,True,2.700226555152848,hole apothem - peg apothem
hex_hex,3.0,5.0,5.0,60.0,True,2.5166114009734626,hole apothem - peg apothem
hex_hex,3.0,8.0,8.0,60.0,True,2.266098590611813,hole apothem - peg apothem
hex_hex,3.0,10.0,10.0,60.0,True,2.1159933959823616,hole apothem - peg apothem
hex_hex,3.0,15.0,15.0,60.0,True,1.801194929944442,hole apothem - peg apothem
hex_hex,4.0,0.0,0.0,60.0,True,3.9999999999999982,hole apothem - peg apothem
hex_hex,4.0,1.0,1.0,60.0,True,3.896868359740514,hole apothem - peg apothem
hex_hex,4.0,2.0,2.0,60.0,True,3.7969337311061397,hole apothem - peg apothem
hex_hex,4.0,3.0,3.0,60.0,True,3.7002265551528493,hole apothem - peg apothem
hex_hex,4.0,5.0,5.0,60.0,True,3.516611400973464,hole apothem - peg apothem
hex_hex,4.0,8.0,8.0,60.0,True,3.2660985906118145,hole apothem - peg apothem
hex_hex,4.0,10.0,10.0,60.0,True,3.1159933959823625,hole apothem - peg apothem
hex_hex,4.0,15.0,15.0,60.0,True,2.8011949299444434,hole apothem - peg apothem
